V1,V2,V3
142,21,-3902
142.016722408027,21,-3960
142.033444816054,21,-3884
142.05016722408,21,-3776
142.066889632107,21,-3700
142.083612040134,21,-3647
142.100334448161,21,-3621
142.117056856187,21,-3605
142.133779264214,21,-3552
142.150501672241,21,-3552
142.167224080268,21,-3461
142.183946488294,21,-3461
142.200668896321,21,-3353
142.217391304348,21,-3353
142.234113712375,21,-3268
142.250836120401,21,-3268
142.267558528428,21,-3229
142.284280936455,21,-3178
142.301003344482,21,-3099
142.317725752508,21,-3000
142.334448160535,21,-2899
142.351170568562,21,-2787
142.367892976589,21,-2720
142.384615384615,21,-2483
142.401337792642,21,-2483
142.418060200669,21,-2218
142.434782608696,21,-2218
142.451505016722,21,-2034
142.468227424749,21,-2034
142.484949832776,21,-1935
142.501672240803,21,-1935
142.518394648829,21,-1960
142.535117056856,21,-2084
142.551839464883,21,-2281
142.56856187291,21,-2536
142.585284280936,21,-2815
142.602006688963,21,-2902
142.61872909699,21,-3046
142.635451505017,21,-3361
142.652173913043,21,-3361
142.66889632107,21,-3654
142.685618729097,21,-3654
142.702341137124,21,-3701
142.719063545151,21,-3701
142.735785953177,21,-3785
142.752508361204,21,-3785
142.769230769231,21,-3822
142.785953177258,21,-3838
142.802675585284,21,-3808
142.819397993311,21,-3749
142.836120401338,21,-3659
142.852842809365,21,-3566
142.869565217391,21,-3486
142.886287625418,21,-3421
142.903010033445,21,-3421
142.919732441472,21,-3505
142.936454849498,21,-3505
142.953177257525,21,-3653
142.969899665552,21,-3653
142.986622073579,21,-3716
143.003344481605,21,-3716
143.020066889632,21,-3701
143.036789297659,21,-3695
143.053511705686,21,-3634
143.070234113712,21,-3468
143.086956521739,21,-3270
143.103678929766,21,-3074
143.120401337793,21,-2959
143.137123745819,21,-3071
143.153846153846,21,-3071
143.170568561873,21,-3133
143.1872909699,21,-3133
143.204013377926,21,-3414
143.220735785953,21,-3414
143.23745819398,21,-3780
143.254180602007,21,-3780
143.270903010033,21,-4080
143.28762541806,21,-4337
143.304347826087,21,-4447
143.321070234114,21,-4510
143.33779264214,21,-4603
143.354515050167,21,-4719
143.371237458194,21,-4822
143.387959866221,21,-5082
143.404682274247,21,-5082
143.421404682274,21,-4611
143.438127090301,21,-4611
143.454849498328,21,-3961
143.471571906355,21,-3961
143.488294314381,21,-3647
143.505016722408,21,-3647
143.521739130435,21,-3417
143.538461538462,21,-3200
143.555183946488,21,-3112
143.571906354515,21,-3161
143.588628762542,21,-3288
143.605351170569,21,-3276
143.622073578595,21,-3285
143.638795986622,21,-3438
143.655518394649,21,-3438
143.672240802676,21,-3453
143.688963210702,21,-3453
143.705685618729,21,-3360
143.722408026756,21,-3360
143.739130434783,21,-3075
143.755852842809,21,-3075
143.772575250836,21,-2949
143.789297658863,21,-2807
143.80602006689,21,-2801
143.822742474916,21,-2775
143.839464882943,21,-2743
143.85618729097,21,-2710
143.872909698997,21,-2701
143.889632107023,21,-2787
143.90635451505,21,-2787
143.923076923077,21,-3011
143.939799331104,21,-3011
143.95652173913,21,-3197
143.973244147157,21,-3197
143.989966555184,21,-3241
144.006688963211,21,-3241
144.023411371237,21,-3246
144.040133779264,21,-3250
144.056856187291,21,-3254
144.073578595318,21,-3240
144.090301003344,21,-3220
144.107023411371,21,-3196
144.123745819398,21,-3168
144.140468227425,21,-3127
144.157190635452,21,-3127
144.173913043478,21,-3117
144.190635451505,21,-3117
144.207357859532,21,-3023
144.224080267559,21,-3023
144.240802675585,21,-2810
144.257525083612,21,-2810
144.274247491639,21,-2798
144.290969899666,21,-2815
144.307692307692,21,-2848
144.324414715719,21,-2866
144.341137123746,21,-2842
144.357859531773,21,-2776
144.374581939799,21,-2685
144.391304347826,21,-2448
144.408026755853,21,-2448
144.42474916388,21,-2262
144.441471571906,21,-2262
144.458193979933,21,-2133
144.47491638796,21,-2133
144.491638795987,21,-1852
144.508361204013,21,-1852
144.52508361204,21,-1745
144.541806020067,21,-1865
144.558528428094,21,-2051
144.57525083612,21,-2049
144.591973244147,21,-2017
144.608695652174,21,-2078
144.625418060201,21,-2136
144.642140468227,21,-2257
144.658862876254,21,-2257
144.675585284281,21,-2358
144.692307692308,21,-2358
144.709030100334,21,-2395
144.725752508361,21,-2395
144.742474916388,21,-2387
144.759197324415,21,-2387
144.775919732441,21,-2373
144.792642140468,21,-2349
144.809364548495,21,-2310
144.826086956522,21,-2265
144.842809364548,21,-2222
144.859531772575,21,-2183
144.876254180602,21,-2140
144.892976588629,21,-2038
144.909698996656,21,-2038
144.926421404682,21,-1972
144.943143812709,21,-1972
144.959866220736,21,-1972
144.976588628763,21,-1972
144.993311036789,21,-1974
145.010033444816,21,-1974
145.026755852843,21,-1978
145.04347826087,21,-1992
145.060200668896,21,-2008
145.076923076923,21,-2014
145.09364548495,21,-2006
145.110367892977,21,-1976
145.127090301003,21,-1930
145.14381270903,21,-1819
145.160535117057,21,-1819
145.177257525084,21,-1798
145.19397993311,21,-1798
145.210702341137,21,-1956
145.227424749164,21,-1956
145.244147157191,21,-2236
145.260869565217,21,-2236
145.277591973244,21,-2380
145.294314381271,21,-2509
145.311036789298,21,-2624
145.327759197324,21,-2712
145.344481605351,21,-2771
145.361204013378,21,-2794
145.377926421405,21,-2776
145.394648829431,21,-2663
145.411371237458,21,-2663
145.428093645485,21,-2528
145.444816053512,21,-2528
145.461538461538,21,-2445
145.478260869565,21,-2445
145.494983277592,21,-2442
145.511705685619,21,-2442
145.528428093645,21,-2467
145.545150501672,21,-2502
145.561872909699,21,-2546
145.578595317726,21,-2598
145.595317725753,21,-2657
145.612040133779,21,-2725
145.628762541806,21,-2798
145.645484949833,21,-2951
145.66220735786,21,-2951
145.678929765886,21,-3066
145.695652173913,21,-3066
145.71237458194,21,-3122
145.729096989967,21,-3122
145.745819397993,21,-3129
145.76254180602,21,-3129
145.779264214047,21,-3115
145.795986622074,21,-3098
145.8127090301,21,-3103
145.829431438127,21,-3117
145.846153846154,21,-3132
145.862876254181,21,-3145
145.879598662207,21,-3177
145.896321070234,21,-3262
145.913043478261,21,-3262
145.929765886288,21,-3322
145.946488294314,21,-3322
145.963210702341,21,-3288
145.979933110368,21,-3288
145.996655518395,21,-3202
146.013377926421,21,-3202
146.030100334448,21,-3136
146.046822742475,21,-3058
146.063545150502,21,-2958
146.080267558528,21,-2856
146.096989966555,21,-2773
146.113712374582,21,-2807
146.130434782609,21,-2885
146.147157190635,21,-3204
146.163879598662,21,-3204
146.180602006689,21,-3563
146.197324414716,21,-3563
146.214046822742,21,-4045
146.230769230769,21,-4045
146.247491638796,21,-4376
146.264214046823,21,-4376
146.280936454849,21,-4459
146.297658862876,21,-4490
146.314381270903,21,-4490
146.33110367893,21,-4466
146.347826086957,21,-4440
146.364548494983,21,-4414
146.38127090301,21,-4396
146.397993311037,21,-4348
146.414715719064,21,-4348
146.43143812709,21,-4238
146.448160535117,21,-4238
146.464882943144,21,-4071
146.481605351171,21,-4071
146.498327759197,21,-3959
146.515050167224,21,-3959
146.531772575251,21,-3955
146.548494983278,21,-4002
146.565217391304,21,-4081
146.581939799331,21,-4184
146.598662207358,21,-4298
146.615384615385,21,-4404
146.632107023411,21,-4511
146.648829431438,21,-4727
146.665551839465,21,-4727
146.682274247492,21,-4920
146.698996655518,21,-4920
146.715719063545,21,-5018
146.732441471572,21,-5018
146.749163879599,21,-5362
146.765886287625,21,-5362
146.782608695652,21,-5517
146.799331103679,21,-5687
146.816053511706,21,-5849
146.832775919732,21,-6060
146.849498327759,21,-6468
146.866220735786,21,-6852
146.882943143813,21,-7073
146.899665551839,21,-7078
146.916387959866,21,-7078
146.933110367893,21,-6827
146.94983277592,21,-6827
146.966555183946,21,-6641
146.983277591973,21,-6641
147,21,-6519
142,20.9833024118738,-3922
142.016722408027,20.9833024118738,-3956
142.033444816054,20.9833024118738,-3891
142.05016722408,20.9833024118738,-3786
142.066889632107,20.9833024118738,-3700
142.083612040134,20.9833024118738,-3643
142.100334448161,20.9833024118738,-3608
142.117056856187,20.9833024118738,-3590
142.133779264214,20.9833024118738,-3571
142.150501672241,20.9833024118738,-3571
142.167224080268,20.9833024118738,-3500
142.183946488294,20.9833024118738,-3500
142.200668896321,20.9833024118738,-3381
142.217391304348,20.9833024118738,-3381
142.234113712375,20.9833024118738,-3258
142.250836120401,20.9833024118738,-3258
142.267558528428,20.9833024118738,-3206
142.284280936455,20.9833024118738,-3148
142.301003344482,20.9833024118738,-3074
142.317725752508,20.9833024118738,-2990
142.334448160535,20.9833024118738,-2908
142.351170568562,20.9833024118738,-2828
142.367892976589,20.9833024118738,-2749
142.384615384615,20.9833024118738,-2550
142.401337792642,20.9833024118738,-2550
142.418060200669,20.9833024118738,-2294
142.434782608696,20.9833024118738,-2294
142.451505016722,20.9833024118738,-2027
142.468227424749,20.9833024118738,-2027
142.484949832776,20.9833024118738,-1868
142.501672240803,20.9833024118738,-1868
142.518394648829,20.9833024118738,-1879
142.535117056856,20.9833024118738,-1957
142.551839464883,20.9833024118738,-2098
142.56856187291,20.9833024118738,-2281
142.585284280936,20.9833024118738,-2450
142.602006688963,20.9833024118738,-2572
142.61872909699,20.9833024118738,-2724
142.635451505017,20.9833024118738,-3289
142.652173913043,20.9833024118738,-3289
142.66889632107,20.9833024118738,-3696
142.685618729097,20.9833024118738,-3696
142.702341137124,20.9833024118738,-3755
142.719063545151,20.9833024118738,-3755
142.735785953177,20.9833024118738,-3796
142.752508361204,20.9833024118738,-3796
142.769230769231,20.9833024118738,-3819
142.785953177258,20.9833024118738,-3818
142.802675585284,20.9833024118738,-3781
142.819397993311,20.9833024118738,-3712
142.836120401338,20.9833024118738,-3620
142.852842809365,20.9833024118738,-3526
142.869565217391,20.9833024118738,-3448
142.886287625418,20.9833024118738,-3386
142.903010033445,20.9833024118738,-3386
142.919732441472,20.9833024118738,-3459
142.936454849498,20.9833024118738,-3459
142.953177257525,20.9833024118738,-3615
142.969899665552,20.9833024118738,-3615
142.986622073579,20.9833024118738,-3699
143.003344481605,20.9833024118738,-3699
143.020066889632,20.9833024118738,-3697
143.036789297659,20.9833024118738,-3689
143.053511705686,20.9833024118738,-3625
143.070234113712,20.9833024118738,-3462
143.086956521739,20.9833024118738,-3249
143.103678929766,20.9833024118738,-3054
143.120401337793,20.9833024118738,-2958
143.137123745819,20.9833024118738,-3136
143.153846153846,20.9833024118738,-3136
143.170568561873,20.9833024118738,-3284
143.1872909699,20.9833024118738,-3284
143.204013377926,20.9833024118738,-3526
143.220735785953,20.9833024118738,-3526
143.23745819398,20.9833024118738,-3908
143.254180602007,20.9833024118738,-3908
143.270903010033,20.9833024118738,-4161
143.28762541806,20.9833024118738,-4386
143.304347826087,20.9833024118738,-4513
143.321070234114,20.9833024118738,-4574
143.33779264214,20.9833024118738,-4608
143.354515050167,20.9833024118738,-4660
143.371237458194,20.9833024118738,-4765
143.387959866221,20.9833024118738,-5065
143.404682274247,20.9833024118738,-5065
143.421404682274,20.9833024118738,-4690
143.438127090301,20.9833024118738,-4690
143.454849498328,20.9833024118738,-4020
143.471571906355,20.9833024118738,-4020
143.488294314381,20.9833024118738,-3661
