V1,V2,V3
142,20,-4092
142.016722408027,20,-4075
142.033444816054,20,-4051
142.05016722408,20,-4029
142.066889632107,20,-4054
142.083612040134,20,-4065
142.100334448161,20,-4016
142.117056856187,20,-3947
142.133779264214,20,-3782
142.150501672241,20,-3782
142.167224080268,20,-3220
142.183946488294,20,-3220
142.200668896321,20,-3587
142.217391304348,20,-3587
142.234113712375,20,-3550
142.250836120401,20,-3550
142.267558528428,20,-3574
142.284280936455,20,-3585
142.301003344482,20,-3558
142.317725752508,20,-3522
142.334448160535,20,-3523
142.351170568562,20,-3520
142.367892976589,20,-3503
142.384615384615,20,-3437
142.401337792642,20,-3437
142.418060200669,20,-3342
142.434782608696,20,-3342
142.451505016722,20,-3247
142.468227424749,20,-3247
142.484949832776,20,-3169
142.501672240803,20,-3169
142.518394648829,20,-3124
142.535117056856,20,-3082
142.551839464883,20,-3024
142.56856187291,20,-2947
142.585284280936,20,-2861
142.602006688963,20,-2774
142.61872909699,20,-2699
142.635451505017,20,-2544
142.652173913043,20,-2544
142.66889632107,20,-2368
142.685618729097,20,-2368
142.702341137124,20,-2224
142.719063545151,20,-2224
142.735785953177,20,-1910
142.752508361204,20,-1910
142.769230769231,20,-1894
142.785953177258,20,-1887
142.802675585284,20,-1856
142.819397993311,20,-1811
142.836120401338,20,-1788
142.852842809365,20,-1777
142.869565217391,20,-1802
142.886287625418,20,-1840
142.903010033445,20,-1840
142.919732441472,20,-1963
142.936454849498,20,-1963
142.953177257525,20,-2273
142.969899665552,20,-2273
142.986622073579,20,-2603
143.003344481605,20,-2603
143.020066889632,20,-2746
143.036789297659,20,-2891
143.053511705686,20,-3042
143.070234113712,20,-3181
143.086956521739,20,-3303
143.103678929766,20,-3379
143.120401337793,20,-3423
143.137123745819,20,-3447
143.153846153846,20,-3447
143.170568561873,20,-3645
143.1872909699,20,-3645
143.204013377926,20,-3683
143.220735785953,20,-3683
143.23745819398,20,-3701
143.254180602007,20,-3701
143.270903010033,20,-3693
143.28762541806,20,-3719
143.304347826087,20,-3704
143.321070234114,20,-3703
143.33779264214,20,-3721
143.354515050167,20,-3766
143.371237458194,20,-3835
143.387959866221,20,-4025
143.404682274247,20,-4025
143.421404682274,20,-4205
143.438127090301,20,-4205
143.454849498328,20,-4299
143.471571906355,20,-4299
143.488294314381,20,-4205
143.505016722408,20,-4205
143.521739130435,20,-4084
143.538461538462,20,-3946
143.555183946488,20,-3822
143.571906354515,20,-3753
143.588628762542,20,-3730
143.605351170569,20,-3752
143.622073578595,20,-3796
143.638795986622,20,-3861
143.655518394649,20,-3861
143.672240802676,20,-3790
143.688963210702,20,-3790
143.705685618729,20,-3599
143.722408026756,20,-3599
143.739130434783,20,-3388
143.755852842809,20,-3388
143.772575250836,20,-3365
143.789297658863,20,-3396
143.80602006689,20,-3440
143.822742474916,20,-3474
143.839464882943,20,-3515
143.85618729097,20,-3501
143.872909698997,20,-3436
143.889632107023,20,-3715
143.90635451505,20,-3715
143.923076923077,20,-4401
143.939799331104,20,-4401
143.95652173913,20,-4759
143.973244147157,20,-4759
143.989966555184,20,-4968
144.006688963211,20,-4968
144.023411371237,20,-5100
144.040133779264,20,-5108
