V1,V2,V3
141,24,-2712
141.016694490818,24,-2601
141.033388981636,24,-2495
141.050083472454,24,-2370
141.066777963272,24,-2185
141.08347245409,24,-2013
141.100166944908,24,-1939
141.116861435726,24,-1896
141.133555926544,24,-1779
141.150250417362,24,-1779
141.16694490818,24,-1502
141.183639398998,24,-1502
141.200333889816,24,-1207
141.217028380634,24,-1207
141.233722871452,24,-1337
141.25041736227,24,-1337
141.267111853088,24,-1429
141.283806343907,24,-1522
141.300500834725,24,-1555
141.317195325543,24,-1554
141.333889816361,24,-1535
141.350584307179,24,-1497
141.367278797997,24,-1432
141.383973288815,24,-1579
141.400667779633,24,-1579
141.417362270451,24,-1890
141.434056761269,24,-1890
141.450751252087,24,-1999
141.467445742905,24,-1999
141.484140233723,24,-2060
141.500834724541,24,-2060
141.517529215359,24,-2109
141.534223706177,24,-2168
141.550918196995,24,-2225
141.567612687813,24,-2254
141.584307178631,24,-2265
141.601001669449,24,-2293
141.617696160267,24,-2293
141.634390651085,24,-2298
141.651085141903,24,-2298
141.667779632721,24,-2282
141.684474123539,24,-2282
141.701168614357,24,-2345
141.717863105175,24,-2345
141.734557595993,24,-2490
141.751252086811,24,-2490
141.767946577629,24,-2528
141.784641068447,24,-2552
141.801335559265,24,-2565
141.818030050083,24,-2575
141.834724540902,24,-2587
141.85141903172,24,-2605
141.868113522538,24,-2628
141.884808013356,24,-2693
141.901502504174,24,-2693
141.918196994992,24,-2786
141.93489148581,24,-2786
141.951585976628,24,-2849
141.968280467446,24,-2849
141.984974958264,24,-2841
142.001669449082,24,-2841
142.0183639399,24,-2826
142.035058430718,24,-2812
142.051752921536,24,-2805
142.068447412354,24,-2817
142.085141903172,24,-2837
142.10183639399,24,-2863
142.118530884808,24,-2882
142.135225375626,24,-2880
142.151919866444,24,-2880
142.168614357262,24,-2879
142.18530884808,24,-2879
142.202003338898,24,-2863
142.218697829716,24,-2863
142.235392320534,24,-2823
142.252086811352,24,-2823
142.26878130217,24,-2852
142.285475792988,24,-2900
142.302170283806,24,-2899
142.318864774624,24,-2882
142.335559265442,24,-2876
142.35225375626,24,-2878
142.368948247078,24,-2879
142.385642737896,24,-2892
142.402337228715,24,-2892
142.419031719533,24,-2928
142.435726210351,24,-2928
142.452420701169,24,-2983
142.469115191987,24,-2983
142.485809682805,24,-3066
142.502504173623,24,-3066
142.519198664441,24,-3125
142.535893155259,24,-3192
142.552587646077,24,-3257
142.569282136895,24,-3312
142.585976627713,24,-3348
142.602671118531,24,-3375
142.619365609349,24,-3393
142.636060100167,24,-3533
142.652754590985,24,-3533
142.669449081803,24,-3813
142.686143572621,24,-3813
142.702838063439,24,-4031
142.719532554257,24,-4031
142.736227045075,24,-4191
142.752921535893,24,-4191
142.769616026711,24,-4226
142.786310517529,24,-4229
142.803005008347,24,-4198
142.819699499165,24,-4150
142.836393989983,24,-4110
142.853088480801,24,-4073
142.869782971619,24,-4029
142.886477462437,24,-3955
142.903171953255,24,-3955
142.919866444073,24,-3987
142.936560934891,24,-3987
142.95325542571,24,-4140
