V1,V2,V3
141,24,-2712
141.016697588126,24,-2601
141.033395176252,24,-2495
141.050092764378,24,-2370
141.066790352505,24,-2185
141.083487940631,24,-2013
141.100185528757,24,-1939
141.116883116883,24,-1896
141.133580705009,24,-1779
141.150278293135,24,-1779
141.166975881262,24,-1502
141.183673469388,24,-1502
141.200371057514,24,-1207
141.21706864564,24,-1207
141.233766233766,24,-1337
141.250463821892,24,-1337
141.267161410019,24,-1429
141.283858998145,24,-1522
141.300556586271,24,-1555
141.317254174397,24,-1554
141.333951762523,24,-1535
141.350649350649,24,-1497
141.367346938776,24,-1432
141.384044526902,24,-1579
141.400742115028,24,-1579
141.417439703154,24,-1890
141.43413729128,24,-1890
141.450834879406,24,-1999
141.467532467532,24,-1999
141.484230055659,24,-2060
141.500927643785,24,-2060
141.517625231911,24,-2109
141.534322820037,24,-2168
141.551020408163,24,-2225
141.567717996289,24,-2254
141.584415584416,24,-2265
141.601113172542,24,-2293
141.617810760668,24,-2293
141.634508348794,24,-2298
141.65120593692,24,-2298
141.667903525046,24,-2282
141.684601113173,24,-2282
141.701298701299,24,-2345
141.717996289425,24,-2345
141.734693877551,24,-2490
141.751391465677,24,-2490
141.768089053803,24,-2528
141.784786641929,24,-2552
141.801484230056,24,-2565
141.818181818182,24,-2575
141.834879406308,24,-2587
141.851576994434,24,-2605
141.86827458256,24,-2628
141.884972170686,24,-2693
141.901669758813,24,-2693
141.918367346939,24,-2786
141.935064935065,24,-2786
141.951762523191,24,-2849
141.968460111317,24,-2849
141.985157699443,24,-2841
142.00185528757,24,-2841
142.018552875696,24,-2826
142.035250463822,24,-2812
142.051948051948,24,-2805
142.068645640074,24,-2817
142.0853432282,24,-2837
142.102040816327,24,-2863
142.118738404453,24,-2882
142.135435992579,24,-2880
142.152133580705,24,-2880
142.168831168831,24,-2879
142.185528756957,24,-2879
142.202226345083,24,-2863
142.21892393321,24,-2863
142.235621521336,24,-2823
142.252319109462,24,-2823
142.269016697588,24,-2852
142.285714285714,24,-2900
142.30241187384,24,-2899
142.319109461967,24,-2882
142.335807050093,24,-2876
142.352504638219,24,-2878
142.369202226345,24,-2879
142.385899814471,24,-2892
142.402597402597,24,-2892
142.419294990724,24,-2928
142.43599257885,24,-2928
142.452690166976,24,-2983
142.469387755102,24,-2983
142.486085343228,24,-3066
142.502782931354,24,-3066
142.519480519481,24,-3125
142.536178107607,24,-3192
142.552875695733,24,-3257
142.569573283859,24,-3312
142.586270871985,24,-3348
142.602968460111,24,-3375
142.619666048237,24,-3393
142.636363636364,24,-3533
142.65306122449,24,-3533
142.669758812616,24,-3813
142.686456400742,24,-3813
142.703153988868,24,-4031
142.719851576994,24,-4031
142.736549165121,24,-4191
142.753246753247,24,-4191
142.769944341373,24,-4226
142.786641929499,24,-4229
142.803339517625,24,-4198
142.820037105751,24,-4150
142.836734693878,24,-4110
142.853432282004,24,-4073
142.87012987013,24,-4029
142.886827458256,24,-3955
142.903525046382,24,-3955
142.920222634508,24,-3987
142.936920222635,24,-3987
142.953617810761,24,-4140
142.970315398887,24,-4140
142.987012987013,24,-4342
143.003710575139,24,-4342
143.020408163265,24,-4441
143.037105751391,24,-4507
143.053803339518,24,-4539
143.070500927644,24,-4534
143.08719851577,24,-4504
143.103896103896,24,-4458
143.120593692022,24,-4421
143.137291280148,24,-4405
143.153988868275,24,-4405
143.170686456401,24,-4495
143.187384044527,24,-4495
143.204081632653,24,-4688
143.220779220779,24,-4688
143.237476808905,24,-5104
143.254174397032,24,-5104
143.270871985158,24,-5428
143.287569573284,24,-5755
143.30426716141,24,-5806
143.320964749536,24,-5788
143.337662337662,24,-5686
143.354359925788,24,-5614
143.371057513915,24,-5663
143.387755102041,24,-5791
143.404452690167,24,-5791
143.421150278293,24,-5829
143.437847866419,24,-5829
143.454545454545,24,-5868
143.471243042672,24,-5868
143.487940630798,24,-5977
143.504638218924,24,-5977
143.52133580705,24,-6045
143.538033395176,24,-6112
143.554730983302,24,-6170
143.571428571429,24,-6220
143.588126159555,24,-6275
143.604823747681,24,-6328
143.621521335807,24,-6397
143.638218923933,24,-6528
143.654916512059,24,-6528
143.671614100186,24,-6688
143.688311688312,24,-6688
143.705009276438,24,-6622
143.721706864564,24,-6622
143.73840445269,24,-6686
143.755102040816,24,-6686
143.771799628942,24,-6893
143.788497217069,24,-7118
143.805194805195,24,-7339
143.821892393321,24,-7542
143.838589981447,24,-7721
143.855287569573,24,-7876
143.871985157699,24,-7967
143.888682745826,24,-8164
143.905380333952,24,-8164
143.922077922078,24,-8400
143.938775510204,24,-8400
143.95547309833,24,-8529
143.972170686456,24,-8529
143.988868274583,24,-8508
144.005565862709,24,-8508
144.022263450835,24,-8418
144.038961038961,24,-8229
144.055658627087,24,-8023
144.072356215213,24,-7816
144.08905380334,24,-7652
144.105751391466,24,-7491
144.122448979592,24,-7357
144.139146567718,24,-7027
144.155844155844,24,-7027
144.17254174397,24,-6485
144.189239332096,24,-6485
144.205936920223,24,-5770
144.222634508349,24,-5770
144.239332096475,24,-5397
144.256029684601,24,-5397
144.272727272727,24,-5393
144.289424860853,24,-5502
144.30612244898,24,-5357
144.322820037106,24,-5324
144.339517625232,24,-5223
144.356215213358,24,-5295
144.372912801484,24,-5466
144.38961038961,24,-5726
144.406307977737,24,-5726
144.423005565863,24,-5632
144.439703153989,24,-5632
144.456400742115,24,-5463
144.473098330241,24,-5463
144.489795918367,24,-5355
144.506493506494,24,-5355
144.52319109462,24,-5314
144.539888682746,24,-5283
144.556586270872,24,-5263
144.573283858998,24,-5278
144.589981447124,24,-5299
144.60667903525,24,-5298
144.623376623377,24,-5294
144.640074211503,24,-5291
144.656771799629,24,-5291
144.673469387755,24,-5244
144.690166975881,24,-5244
144.706864564007,24,-5121
144.723562152134,24,-5121
144.74025974026,24,-4934
144.756957328386,24,-4934
144.773654916512,24,-4841
144.790352504638,24,-4715
144.807050092764,24,-4591
144.823747680891,24,-4477
144.840445269017,24,-4477
