,LABID,FIELDID,Animal_ID,SOURCE,Collection_Method,CONTACT_NAME,Organization,Label,LAB,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,USE,Restrict_Description,YR,MO,DA,Location,City,Island,County,State,Country,Latitude,Latitude_Precision,Latitude_Precision_Unit,Longitude,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX,Gender_Determination,ACCESSIONDATE,GENBANK.,GENBANK1,GENBANK2,GENBANK3,COMMENTS,Record_Creation_Date,Edit_User,Edit_Date
2553,102428,OES100926.03,226634,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,9,26,,,,,HAWAII,UNITED STATES OF AMERICA,23.216666,1,Minute,-163.133333,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,11/11/10 0:00,,NA,NA,NA,"9/26/2010, sighting#085",5/31/12 16:26,Dan Prosperi,9/17/21 8:04
2554,102429,OES100926.04,226635,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,9,26,,,,,HAWAII,UNITED STATES OF AMERICA,23.216666,1,Minute,-163.133333,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,11/11/10 0:00,,NA,NA,NA,"9/26/2010, sighting#085. Same individual as Z102426 & Z102430, confirmed genetically",5/31/12 16:26,Dan Prosperi,9/17/21 8:04
3290,123357,MAC101012.01,232546,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,12,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,25.7,1,Minute,-169.383333,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3291,123358,MAC101012.02,232547,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,12,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,25.7,1,Minute,-169.383333,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3292,123359,MAC101012.03,232548,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,12,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,25.7,1,Minute,-169.35,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3293,123364,MAC101018.04,232553,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,18,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,23.966666,1,Minute,-165.483333,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3294,123365,MAC101018.05,232554,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,18,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,23.966666,1,Minute,-165.483333,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3295,123366,MAC101018.06,232555,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,18,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,23.966666,1,Minute,-165.483333,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3296,123372,MAC101023.01,232561,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,23,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,22.75,1,Minute,-161.083333,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3297,123373,MAC101023.02,232562,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,23,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,22.75,1,Minute,-161.083333,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3298,123374,MAC101023.03,232563,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,23,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,22.75,1,Minute,-161.083333,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3300,123376,MAC101023.05,232565,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,23,,,,,HAWAII,UNITED STATES OF AMERICA,22.683333,1,Minute,-161,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3301,123377,MAC101023.06,232566,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,10,23,,,,,HAWAII,UNITED STATES OF AMERICA,22.683333,1,Minute,-161,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
3302,123380,MAC101123.01,232569,BIOPSY-SWFSC-HICEAS,BIOPSY (PROJECTILE),NA,NA,NA,JPB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2010,11,23,Papahanaumokuakea Marine National Monument,,,,HAWAII,UNITED STATES OF AMERICA,24.083333,1,Minute,-166.633333,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/23/10 0:00,,NA,NA,NA,,5/31/12 16:27,Dan Prosperi,9/17/21 8:04
2223,67596,LL2397,217549,FISHERY-HILL-PIRO,BY-CATCH,NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,N,,2007,3,26,NORTH OF THE ISLANDS,,,,HAWAII,UNITED STATES OF AMERICA,30.6,1,Minute,-159.666666,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,7/23/07 0:00,,NA,NA,NA,,5/31/12 16:16,Dan Prosperi,9/17/21 8:04
961,2623,WFP0750,184017,FISHERY-PHILIPPINES-PERRI,BY-CATCH,NA,NA,NA,WFP,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,1994,4,20,,,,,,PHILIPPINES,NA,NA,,NA,NA,,1,North Pacific,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,NA,NA,NA,,5/31/12 15:58,Dan Prosperi,9/17/21 8:04
962,5562,HAB0028-94,186671,FISHERY-PHILIPPINES-SUML,BY-CATCH,NA,NA,NA,WFP,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,1994,7,NA,"SAITON, MALABUHAN",,,,,PHILIPPINES,NA,NA,,NA,NA,,1,North Pacific,F,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,NA,NA,NA,,5/31/12 15:59,Dan Prosperi,9/17/21 8:04
3931,13843,SK-99-1,192126,FORENSICS-KOREAN MARKET,MARKET,NA,NA,NA,RLB,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,1999,NA,NA,,,,,,,NA,NA,,NA,NA,,9,Unknown,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,,,NA,NA,NA,,5/31/12 16:01,Dan Prosperi,9/17/21 8:04
2888,107859,RWB2012MAY14.01,229637,SLOUGHED-CASCADIA-BAIRD,NON-INVASIVE SAMPLING,NA,NA,NA,ARC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2012,5,14,,,,,HAWAII,UNITED STATES OF AMERICA,20.083333,1,Minute,-156,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,6/11/12 0:00,,NA,NA,NA,,6/11/12 12:27,Dan Prosperi,9/17/21 8:04
1061,9538,SU9703,189462,STRAND-TAIWAN-CHOU,STRANDING,NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,N,,NA,NA,NA,,,,,,"TAIWAN, PROVINCE OF CHINA",NA,NA,,NA,NA,,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,,,NA,NA,NA,,5/31/12 16:00,Dan Prosperi,9/17/21 8:04
1062,9539,SU9605,189463,STRAND-TAIWAN-CHOU,STRANDING,NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,N,,NA,NA,NA,,,,,,"TAIWAN, PROVINCE OF CHINA",NA,NA,,NA,NA,,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,,,NA,NA,NA,,5/31/12 16:00,Dan Prosperi,9/17/21 8:04
1064,9541,SU9702,189465,STRAND-TAIWAN-CHOU,STRANDING,NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,N,,NA,NA,NA,,,,,,"TAIWAN, PROVINCE OF CHINA",NA,NA,,NA,NA,,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,,,NA,NA,NA,,5/31/12 16:00,Dan Prosperi,9/17/21 8:04
