LABID,FIELDID,SOURCE,LAB,DATA,SPTYPE,SPCODE,SPNAME,USE,RESTRICT,YR,MO,DA,Latitude,Longitude,OBASIN,LOCLTY,SEX,GENDETER,TVIAL,FVIAL,TTYPE,TSTORE,TLOC,BLUBBER,ISOTOPE,EXTCTD,EXTDAY,EXTSTR,F1,F2,F3,MAXCONC,TLEFT,PRCSD,TSHARED,GENBANK#,GENBANK1,GENBANK2,GENBANK3,COMMENTS,ACCESSIONDATE
30468,DSJ021104.01,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,1,050518,01,0,1,,13,Y,,,,,,,"2 samples from same animal in one vial;blubber not separated, LOAN 176",16-Dec-02
30470,DSJ021104.03,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,0,,,,,,,Y,,,,,,,blubber not separated,16-Dec-02
30471,DSJ021104.04,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,0,,,,,,,Y,,,,,,,blubber not separated,16-Dec-02
30469,DSJ021104.02,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,2,060210,01,0,1,,14,Y,,,,,,,"blubber not separated, LOAN 176",16-Dec-02
15529,JHT0303,FISHERY-ETP TUNA,KMR,08,C,026,L hos,N,,1975,4,16,6.63,-96.13,1,ETP,F,2,01,00,O,DMSO,A,,,1,030314,01,0,1,,170,Y,,2,,,,,LOAN 134,
9846,GIR980421.01,BIOPSY-M/V GIRITY,RLP,05,C,026,L hos,N,,1998,4,21,3.57,73.55,3,MALDIVES,U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,145,Y,,2,,,,,LOAN 134,
9867,GIR980415.02,BIOPSY-M/V GIRITY,RLP,05,C,026,L hos,N,,1998,4,15,5.43,73.65,3,MALDIVES,U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,250,Y,,2,,,,,LOAN 134,
9868,GIR980415.03,BIOPSY-M/V GIRITY,RLP,05,C,026,L hos,N,,1998,4,15,5.43,73.65,3,MALDIVES,U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,240,Y,,2,,,,,LOAN 134,
2598,WFP0785,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,8,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,1,030314,01,0,1,,233,Y,,2,,,,,LOAN 134,
2599,WFP0778/SUML0063,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,3,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,1,030314,01,0,1,,337,Y,,2,,,,,LOAN 134,
2601,WFP0786,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,8,,,1,PHILIPPINES,F,2,01,00,S,DMSO,A,,,1,030314,01,0,1,,475,Y,4,2,,,,,LOAN 134,
2651,GYA0029,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1993,8,25,,,1,PHILIPPINES,F,6,01,00,S,DMSO,A,,,2,030408,01,0,1,,393,Y,,2,,,,,LOAN 134,
394,IUCN0003,FISHERY-PHILIPPINES-PERRI,,08,C,026,L hos,N,,1991,4,16,8.85,123.12,1,"PHILIPPINES, MALABUHAN, SIATON",M,6,01,00,S,DMSO,A,,,1,030314,01,0,1,,118,Y,,2,,,,,LOAN 134,
395,IUCN0004,FISHERY-PHILIPPINES-PERRI,,08,C,026,L hos,N,,1991,4,16,8.85,123.12,1,"PHILIPPINES, MALABUHAN, SIATON",F,6,01,00,S,DMSO,A,,,1,030314,01,0,1,,228,Y,,2,,,,,LOAN 134,
399,IUCN0008,FISHERY-PHILIPPINES-PERRI,,08,C,026,L hos,N,,1991,4,4,8.85,123.12,1,"PHILIPPINES, MALABUHAN, SIATON",F,6,01,00,S,DMSO,A,,,1,030314,01,0,1,,353,Y,,2,,,,,LOAN 134,
5554,HAB0002-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,6,3,,,1,"PHILIPPINES, SAITON, MALABUHAN",M,1,01,00,S,DMSO,A,,,2,030408,01,0,1,,260,Y,,2,,,,,LOAN 134,
5560,HAB0027-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,7,,,,1,"PHILIPPINES, SAITON, MALABUHAN",F,1,01,00,S,DMSO,A,,,1,030314,01,0,1,,238,Y,,2,,,,,LOAN 134,
7452,PS-02,PHILIPPINES-SUML,WFP,03,C,026,L hos,Y,2,1997,3,3,,,1,"PHILIPPINES, SIVO",U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,645,Y,,2,,,,,LOAN 134,
9553,CK9715,STRAND-TAIWAN-CHOU,SJC,01,C,026,L hos,N,,,,,,,1,TAIWAN,U,,01,00,M,DMSO,A,,,2,030408,01,0,1,,313,Y,,2,,,,,LOAN 134,
9554,CK9713,STRAND-TAIWAN-CHOU,SJC,01,C,026,L hos,N,,,,,,,1,TAIWAN,U,,01,00,M,DMSO,A,,,2,030408,01,0,1,,360,Y,,2,,,,,LOAN 134,
9555,SU9479,STRAND-TAIWAN-CHOU,SJC,01,C,026,L hos,N,,,,,,,1,TAIWAN,U,,01,00,M,DMSO,A,,,2,030408,01,0,1,,580,Y,,2,,,,,LOAN 134,
18930,M34166,STRAND-AUSTRALIA-AM,KMR,01,C,026,L hos,Y,2,,,,,,3,"AUSTRALIA, NEW SOUTH WALES",U,,01,00,M,DRY,A,,,1,030318,01,0,1,,103,Y,,2,,,,,"LOAN 134, ID BY THOMAS JEFFERSON 11-1-1999,Z23192 was a duplicate of Z18930",20-Feb-01
2594,WFP0731/SUML0059,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,4,7,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,1,981204,01,0,1,,344,Y,1,2,,,,,"LOAN 176, SPEC READING 6/2005",
125679,IEMS 002,STRAND-PHILIPPINES-SUML,WFP,03,C,026,L hos,Y,2,2007,5,9,,,1,"Philippines, Negros Is., Dumaguete",U,,00,00,P,FRZR,,A,,,,,,,,,N,,,,,,,"PCR product, stranding, species id not 100% certain.",13-Jun-11
18929,M25789,STRAND-AUSTRALIA-WAM,KMR,03,C,026,L hos,Y,2,,,,-20.77,115.40,3,"AUSTRALIA, WESTERN AUSTRALIA, BARROW IS.",U,,02,00,T,DRY,A,,,0,,,,,,,Y,,,,,,,"reliability of data is poor, found in drum, no other data",20-Feb-01
