ID,FIELDID,Geographic group,Location,Sex,SamplingYear,Source,Archive institution,Microstatellite analysis,mtDNA haplotype
299,HU2000026,Taiwan,Hualien,M,2000,Bycatch,NTU,Included,Hap_34
1126,ST2005,Taiwan,Hualien,F,2005,Bycatch,NTU,Included,Hap_34
309,ST041012-1,Taiwan,Hualien,M,2004,Bycatch,NTU,Included,Hap_35
311,ST041012-5,Taiwan,Hualien,F,2004,Bycatch,NTU,Included,Hap_35
602,HU2000030,Taiwan,Hualien,M,2000,Bycatch,NTU,Included,Hap_36
606,HU2001021,Taiwan,Hualien,M,2001,Bycatch,NTU,Included,Hap_37
715,HU2001017,Taiwan,Hualien,F,2001,Bycatch,NTU,Included,Hap_38
887,ST2005002,Taiwan,Hualien,F,2005,Bycatch,NTU,Included,Hap_39
EW1265,EW1265,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,Hap_4
66,HU2000046,Taiwan,Hualien,M,2000,Bycatch,NTU,Included,Hap_4
8,KS2000001,Taiwan,Kaohsiung,F,2000,Stranding,NTU,Included,Hap_4
304,ST041028-2,Taiwan,Hualien,M,2004,Bycatch,NTU,Included,Hap_4
LHDU10,TD20130525,Taiwan,Taitung,M,2013,Stranding,NTU,Included,Hap_4
30469,DSJ021104.02,Central North Pacific,Hawaii,F,2002,Biopsy,SWFSC,Included,Hap_4
1090,IL07001,Taiwan,Ilan,F,2007,Stranding,NTU,Included,Hap_40
1155,TD20061125,Taiwan,Taitung,M,2006,Bycatch?,NTU,Included,Hap_41
1323,TD20090526,Taiwan,Taitung,M,2009,Stranding,NTU,Included,Hap_42
LHDU08,TD20120226,Taiwan,Taitung,M,2012,Stranding,NTU,Included,Hap_43
LHDU11,KH20120329,Taiwan,Kaoshiung,F,2012,Stranding,NTU,Included,Hap_44
15529,JHT0303,Eastern Tropical Pacific,Eastern Tropical Pacific,F,1975,Bycatch,SWFSC,Included,Hap_45
30468,DSJ021104.01,Central North Pacific,Hawaii,M,2002,Biopsy,SWFSC,Included,Hap_46
30470,DSJ021104.03,Central North Pacific,Hawaii,M,2002,Biopsy,SWFSC,Included,Hap_47
2509,MM-9406,Gulf of Mexico,"Fort Myers Beach, Florida",F,1994,Stranding,SWFSC,Included,Hap_48
2507,MM-9407,Gulf of Mexico,"Fort Myers Beach, Florida",M,1994,Stranding,SWFSC,Included,Hap_48
EW00542,EW00542,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,Hap_5
EW00543,EW00543,Japan,"Taiji, Wakayama",F,1991,Drive fishery,es-Bank,Included,Hap_6
35,HU9806,Taiwan,Hualien,M,1998,Bycatch?,NTU,Included,Hap_6
LHDU04,IL040731,Taiwan,Ilan,M,2004,Seizure?,NTU,Included,Hap_6
EW00544,EW00544,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,Hap_7
EW00545,EW00545,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,Hap_8
EW00547,EW00547,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,Hap_9
EW00574,EW00574,Japan,"Taiji, Wakayama",F,1991,Drive fishery,es-Bank,Included,Hap_9
EW00546,EW00546,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,
EW00556,EW00556,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,
EW00573,EW00573,Japan,"Taiji, Wakayama",M,1991,Drive fishery,es-Bank,Included,
9553,CK9715,Taiwan,Taitung,F,1997,Bycatch,NTU,Included,
LHDU09,HU20120227,Taiwan,Hualien,F,2012,Stranding,NTU,Included,
LHDU02,TP20110830,Taiwan,Taipei,M,2011,Stranding,NTU,Included,
5553,HAB0001-94,Philippines,Siaton,M,1994,Bycatch,SWFSC,Included,
5556,HAB0007-94,Philippines,Siaton,M,1994,Bycatch,SWFSC,Included,
5559,HAB0024-94,Philippines,Siaton,F,1994,Bycatch,SWFSC,Included,
395,IUCN0004,Philippines,Siaton,F,1991,Bycatch,SWFSC,Included,
2594,WFP0731/SUML0059,Philippines,Siaton?,M,1994,Bycatch,SWFSC,Included,
2596,WFP0745/SUML0062,Philippines,Siaton?,F,1994,Bycatch,SWFSC,Included,
2607,WFP0780/SUML0069,Philippines,Siaton?,M,1994?,Bycatch,SWFSC,Included,
2601,WFP0786,Philippines,Siaton?,F,1994,Bycatch,SWFSC,Included,
2595,WFP0787,Philippines,Siaton?,F,1994,Bycatch,SWFSC,Included,
2600,WFP0788/SUML0058,Philippines,Siaton?,M,1994,Bycatch,SWFSC,Included,
