AnimalID,All,Fine,Broad,HI Fine,CNMI_HIArch,CNMI_Other,CNMI_NoHybrids,STRUCTURE_strata
47693,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
47702,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
47708,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
51018,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51021,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51022,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51039,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51040,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51041,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51066,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51067,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51068,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51069,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51070,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51071,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51072,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51073,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51074,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51075,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51076,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51077,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51087,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
51092,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
53753,All,,NEPac,,,Ttru,,Pelagic
53946,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
53952,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55189,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55190,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55202,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55203,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55204,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55205,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55249,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55250,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55251,All,MHI,HIArch,,HIArch,Ttru,,HIArch
55252,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
55253,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
61428,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
61429,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
61430,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
61442,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
61443,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
67596,All,,NEPac,,,Ttru,,Pelagic
71009,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
71010,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
71011,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
71012,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
71013,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
71019,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
75651,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
75652,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
75653,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
75667,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
78742,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
78743,All,MHI,HIArch,,HIArch,Ttru,,HIArch
78758,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
78817,All,MHI,HIArch,,HIArch,Ttru,,HIArch
78818,All,MHI,HIArch,,HIArch,Ttru,,HIArch
78826,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
78827,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
79982,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
79998,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
88612,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
92252,All,MHI,HIArch,4-Islands,HIArch,Ttru,,HIArch
92257,All,MHI,HIArch,Oahu,HIArch,Ttru,,HIArch
92259,All,MHI,HIArch,Oahu,HIArch,Ttru,,HIArch
102380,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102381,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102382,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102383,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102384,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102385,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102386,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102387,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102389,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102390,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102391,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
